"Postcode","OA_Code","Total","Percentage"
"M20 2UT","E00025705",20,25
"M20 2UT","E00025706",59,75
"M20 3BW","E00026741",6,13
"M20 3BW","E00026748",41,87
"M20 3EB","E00026708",54,95
"M20 3EB","E00026745",3,5
"M20 3FG","E00026705",1,2
"M20 3FG","E00026734",47,98
"M20 3FU","E00026738",51,74
"M20 3FU","E00026741",18,26
"M20 3GA","E00026741",52,78
"M20 3GA","E00026748",15,22
"M20 3QJ","E00026889",7,78
"M20 3QJ","E00026891",2,22
"M20 3YB","E00026718",14,29
"M20 3YB","E00026720",35,71
"M20 4PH","E00026863",3,8
"M20 4PH","E00026873",34,92
"M20 4PT","E00026862",22,56
"M20 4PT","E00026863",17,44
"M20 4SF","E00026865",20,41
"M20 4SF","E00026879",29,59
"M20 4SS","E00025904",75,76
"M20 4SS","E00026877",24,24
"M20 4UA","E00026884",72,86
"M20 4UA","E00026888",12,14
"M20 4YA","E00026714",13,65
"M20 4YA","E00026716",7,35
"M20 5QP","E00026204",11,92
"M20 5QP","E00026209",1,8
"M20 6BJ","E00026170",65,88
"M20 6BJ","E00026181",9,12
"M20 6GX","E00026889",6,38
"M20 6GX","E00026891",10,63
"M20 6HW","E00026188",2,9
"M20 6HW","E00026192",20,91
"M20 6RY","E00026194",2,3
"M20 6RY","E00026195",74,97
"M20 6TN","E00026172",2,25
"M20 6TN","E00026187",6,75
"M20 6UZ","E00026177",2,3
"M20 6UZ","E00026179",63,97
"M20 6WA","E00026187",10,45
"M20 6WA","E00026190",12,55
"M21 0BH","E00026100",115,97
"M21 0BH","E00026109",4,3
"M21 0BQ","E00026109",4,33
"M21 0BQ","E00026113",8,67
"M21 0SB","E00026825",2,4
"M21 0SB","E00026859",55,96
"M21 7DA","E00025724",28,42
"M21 7DA","E00175891",39,58
"M21 7DB","E00175891",131,78
"M21 7DB","E00176092",36,22
"M21 7DG","E00175891",19,12
"M21 7DG","E00176092",140,88
"M21 7GG","E00025696",42,43
"M21 7GG","E00025697",56,57
"M21 7HR","E00025684",92,99
"M21 7HR","E00025690",1,1
"M21 7LB","E00025684",17,89
"M21 7LB","E00026093",2,11
"M21 7TH","E00175882",25,14
"M21 7TH","E00175883",154,86
"M21 8AA","E00026113",13,22
"M21 8AA","E00026115",47,78
"M21 8BE","E00026119",30,91
"M21 8BE","E00026127",3,9
"M21 8TN","E00026082",3,17
"M21 8TN","E00026127",15,83
"M21 8UX","E00026115",1,2
"M21 8UX","E00026121",61,98
"M21 9AN","E00026112",44,94
"M21 9AN","E00026113",3,6
"M21 9DJ","E00026126",7,12
"M21 9DJ","E00026127",52,88
"M21 9EG","E00026123",4,17
"M21 9EG","E00026124",19,83
"M21 9EQ","E00026083",7,10
"M21 9EQ","E00026124",62,90
"M21 9GQ","E00026118",7,78
"M21 9GQ","E00026126",2,22
"M21 9GZ","E00026100",8,24
"M21 9GZ","E00026101",25,76
